,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
0,A.J. English,2016,,74.0,75.0,82.0,98.5,35.5,134.0,29.5,128.0,182.0,5.3,8.75,8.5,,12.27,3.28
1,Ben Bentil,2016,51,79.25,80.25,85.5,105.0,33.0,138.0,29.0,134.0,229.0,9.7,9.5,10.0,,11.16,3.3
2,Brice Johnson,2016,25,81.0,82.5,84.5,106.5,38.0,144.5,33.5,140.0,209.0,7.5,9.0,8.25,,11.88,3.2
3,Buddy Hield,2016,6,75.75,77.0,81.25,101.0,,,,,212.0,6.1,8.5,9.0,,,
4,Caleb Swanigan,2016,,79.5,80.5,87.5,107.0,29.0,136.0,26.0,133.0,247.0,12.6,9.0,10.25,,12.8,
5,Caris LeVert,2016,20,77.75,79.0,82.0,101.0,,,,,191.0,7.6,8.5,9.25,,,
6,Cat Barber,2016,,73.5,74.75,77.5,95.5,,,,,173.0,4.5,8.0,8.5,,,
7,Cheick Diallo,2016,33,79.5,81.0,88.5,107.5,35.0,142.5,31.0,138.5,219.0,5.6,8.5,9.75,,11.24,3.26
8,Chinanu Onuaku,2016,37,81.0,82.0,86.75,108.5,33.5,142.0,27.5,136.0,245.0,8.6,9.0,8.0,,11.65,3.5
9,Damian Jones,2016,30,82.25,83.5,87.75,107.0,37.0,144.0,36.0,143.0,244.0,6.6,8.75,10.5,,11.35,3.2
10,Daniel Hamilton,2016,56,78.25,80.0,81.0,103.5,29.0,132.5,26.0,129.5,197.0,6.0,9.0,8.5,,11.48,3.4
11,DeAndre Bembry,2016,21,76.25,77.75,81.25,101.0,38.0,139.0,32.0,133.0,207.0,7.0,8.0,9.25,,10.9,3.17
12,Dedric Lawson,2016,,79.0,80.0,86.5,106.5,28.0,134.5,22.5,129.0,225.0,11.1,9.5,9.5,,12.48,3.65
13,Demetrius Jackson,2016,45,72.0,73.25,77.5,93.0,43.5,136.5,37.5,130.5,194.0,6.5,8.25,9.0,,10.81,3.25
14,Denzel Valentine,2016,14,76.0,77.75,82.75,102.0,32.0,134.0,27.0,129.0,210.0,9.2,8.5,9.75,,10.51,3.46
15,Deyonta Davis,2016,31,81.25,82.5,86.5,108.5,,,,,237.0,9.7,9.0,9.25,,,
16,Diamond Stone,2016,40,81.0,82.25,86.75,108.5,29.5,138.0,27.0,135.5,254.0,12.9,8.5,7.75,,12.02,3.5
17,Dorian Finney-Smith,2016,,78.5,79.75,83.75,105.5,35.5,141.0,32.5,138.0,213.0,6.5,9.0,9.75,,11.01,3.27
18,Elgin Cook,2016,,77.0,78.25,82.0,100.5,,,,,210.0,6.4,8.5,10.25,,,
19,Gary Payton II,2016,,74.0,75.0,80.0,99.5,38.5,138.0,31.5,131.0,184.0,4.0,8.75,9.5,,11.57,3.23
20,Georges Niang,2016,50,78.75,80.5,82.0,103.0,31.0,134.0,25.0,128.0,231.0,10.1,9.25,9.25,,11.64,3.49
21,Henry Ellenson,2016,18,82.0,83.5,86.25,108.0,,,,,242.0,11.2,8.5,9.75,,,
